"Airbus A330-700 Beluga XL","330","A337"
"Airbus A380-800","388","A388"
"Antonov AN-12","ANF","AN12"
"Antonov AN-72","AN7","AN72"
"BAe 146-300","143","B463"
"Boeing 737","737",\N
"Boeing 737 MAX 7","7M7","B37M"
"Boeing 787-9","789","B789"
"Bombardier 415",\N,"CL2T"
"Concorde","SSC","CONC"
"Lockheed L-1011 Tristar","L10","L101"
"McDonnell Douglas MD-11","M11","MD11"
"NAMC YS-11","YS1","YS11"
"Sikorsky S-58T","S58","S58T"
"Sukhoi Superjet 100-95","SU9","SU95"
