PC,3926,ADA,1685,ADB,1706,,0,738
PC,3926,ADA,1685,AYT,1688,,0,738
PC,3926,ADA,1685,ECN,5780,,0,738
PC,3926,ADA,1685,SAW,4317,,0,738 320
PC,3926,ADA,1685,TZX,1726,,0,738
PC,3926,ADA,1685,VAN,1728,,0,738
PC,3926,ADB,1706,ADA,1685,,0,738
PC,3926,ADB,1706,AMS,580,,0,738
PC,3926,ADB,1706,ASR,1696,,0,738
PC,3926,ADB,1706,ATH,3941,,0,738
PC,3926,ADB,1706,AYT,1688,,0,738
PC,3926,ADB,1706,BRU,302,,0,738
PC,3926,ADB,1706,BSL,1423,,0,738
PC,3926,ADB,1706,DIY,1722,,0,738
PC,3926,ADB,1706,DUS,345,,0,738
PC,3926,ADB,1706,ECN,5780,,0,738
PC,3926,ADB,1706,ESB,1682,,0,738
PC,3926,ADB,1706,EZS,1721,,0,738
PC,3926,ADB,1706,GNY,9044,,0,738
PC,3926,ADB,1706,GZT,1689,,0,738
PC,3926,ADB,1706,HTY,7453,,0,738
PC,3926,ADB,1706,IST,1701,,0,738
PC,3926,ADB,1706,MQM,6753,,0,738
PC,3926,ADB,1706,SAW,4317,,0,738 320
PC,3926,ADB,1706,STN,548,,0,738
PC,3926,ADB,1706,STR,350,,0,738
PC,3926,ADB,1706,TZX,1726,,0,738
PC,3926,ADB,1706,VAS,1694,,0,738
PC,3926,AER,2965,TZX,1726,,0,738
PC,3926,ALA,2908,SAW,4317,,0,738
PC,3926,AMS,580,ADB,1706,,0,738
PC,3926,AMS,580,ASR,1696,,0,738
PC,3926,AMS,580,AYT,1688,,0,738
PC,3926,AMS,580,KYA,1691,,0,738
PC,3926,AMS,580,SAW,4317,,0,738
PC,3926,ARN,737,SAW,4317,,0,738 320
PC,3926,ASR,1696,ADB,1706,,0,738
PC,3926,ASR,1696,DUS,345,,0,738
PC,3926,ASR,1696,SAW,4317,,0,320 738
PC,3926,ATH,3941,ADB,1706,,0,738
PC,3926,ATH,3941,SAW,4317,,0,738 320
PC,3926,AYT,1688,ADA,1685,,0,738
PC,3926,AYT,1688,ADB,1706,,0,738
PC,3926,AYT,1688,AMS,580,,0,738
PC,3926,AYT,1688,BLL,608,,0,738
PC,3926,AYT,1688,BRU,302,,0,738
PC,3926,AYT,1688,CPH,609,,0,738
PC,3926,AYT,1688,ECN,5780,,0,738
PC,3926,AYT,1688,GVA,1665,,0,738
PC,3926,AYT,1688,SAW,4317,,0,738 320
PC,3926,AYT,1688,TZX,1726,,0,738
PC,3926,AYT,1688,VIE,1613,,0,738
PC,3926,BAL,1729,SAW,4317,,0,320 738
PC,3926,BCN,1218,SAW,4317,,0,738
PC,3926,BEG,1739,SAW,4317,,0,738
PC,3926,BEY,2177,SAW,4317,,0,738
PC,3926,BGY,1525,SAW,4317,,0,738
PC,3926,BJV,4315,BRU,302,,0,738
PC,3926,BJV,4315,ESB,1682,,0,738
PC,3926,BJV,4315,SAW,4317,,0,738 320
PC,3926,BLL,608,AYT,1688,,0,738
PC,3926,BLQ,1538,SAW,4317,,0,320 738
PC,3926,BRU,302,ADB,1706,,0,738
PC,3926,BRU,302,AYT,1688,,0,738
PC,3926,BRU,302,BJV,4315,,0,738
PC,3926,BSL,1423,ADB,1706,,0,738
PC,3926,BSL,1423,SAW,4317,,0,320 738
PC,3926,CGN,344,ESB,1682,,0,738
PC,3926,CGN,344,SAW,4317,,0,738
PC,3926,CPH,609,AYT,1688,,0,738
PC,3926,CPH,609,SAW,4317,,0,738 320
PC,3926,CRL,304,SAW,4317,,0,738 320
PC,3926,DIY,1722,ADB,1706,,0,738
PC,3926,DIY,1722,SAW,4317,,0,738 320
PC,3926,DLM,1715,SAW,4317,,0,738 320
PC,3926,DME,4029,SAW,4317,,0,738 320
